symbol,name,network_id,address
APT,Aptos,aptos,0x4a6bf23f17f3e2951ec4da62da9a7a80312ae473a7390ee1585d51c6a34a0096
AR,Arweave,arweave,XPp9VlZW0qwOPK6gMOhWcfwC9d7uJjqztflwrRYoFy4
EGLD,MultiversX,multiversx,erd10u3n46rkewzp9nqfnsx7vruz68vnvcfdwlsq38gysrf55z3ef7as54860a
FLOW,Flow,flow,0x464ff5ce96be45c7
ICP,Internet Computer,icp,fe3e9427110f728a864c0cfa091126fa42897bc55fe4b8aca7df8fe21b040555
NEO,Neo N3,neo,Ncby6iv4U7F3pu8ErzBzfbGXmsPeq2XF6s
ORDI,Ordinals,brc20,bc1px4zghkg7zxuzfwtd0zctr4tepanlnysv2qn0fhwrl2q5mfqr3fkqfzn7xa
SC,Siacoin,siacoin,b7c9de2507efd0cb6ad001fdd728f701adbe673f27a07115bde3dff9c60f577728be8a19fb63
STX,Stacks,stacks,SP2RJJJYGANXRWZ9REH87E6MFXJQSV81JJHX34KD3
SUI,Sui,sui,0x8df8a81cf24f66f1ff2b22b5f091ccad944cc3499823b7b5d44e2b718b00de58
VET,Vechain,vechain,0x52e81a1f8c917987c28da71B4c84eb51cc3Cd3a9
XNO,Nano,nano,nano_1c8j1h5ujzgefuezziffeksy39xrcj84d4neo6eyhx1ze858ogikgmxhmeyq
